,District,PROPERTY Address,PROPERTY Boro-Block-Lot,PROPERTY Building Classification,PROPERTY Condo Section,PROPERTY Full Market Value,PROPERTY Gross Income per SqFt,PROPERTY Gross SqFt,PROPERTY Market Value per SqFt,PROPERTY Neighborhood,PROPERTY Total Units,PROPERTY Year Built,RENTAL 1 Address,RENTAL 1 Boro-Block-Lot,RENTAL 1 Building Classification,RENTAL 1 Full Market Value,RENTAL 1 Gross Income per SqFt,RENTAL 1 Gross SqFt,RENTAL 1 Market Value per SqFt,RENTAL 1 Neighborhood,RENTAL 1 Total Units,RENTAL 1 Year Built,Year
4167,Brooklyn,970 41 STREET,3-05590-7502,R4-ELEVATOR,1663-R1,449996,0,52818,8.52,BOROUGH PARK,50,2005,4624 17 AVENUE,3-05437-0050,D3-ELEVATOR,1580000,18.1,41131,38.4,BOROUGH PARK,51,1992,2010
4168,Brooklyn,1227 44 STREET,3-05604-7506,R2-WALK-UP,2205-R1,998000,21.19,11375,88,BOROUGH PARK,12,2007,814 40 STREET,3-00920-0011,C7-WALK-UP,960000,22.04,10516,91,BOROUGH PARK,12,2004,2010
4169,Brooklyn,1025 45 STREET,3-05608-7501,R2-WALK-UP,180-R1,726000,9.84,25868,28.1,BOROUGH PARK,26,1923,6820 RIDGE BOULEVARD,3-05861-0053,C1-WALK-UP,625000,9.84,26700,23.41,BAY RIDGE,24,1916,2010
4170,Brooklyn,1317 46 STREET,3-05617-7502,R4-ELEVATOR,1026-R1,3089999,17.5,46000,67,BOROUGH PARK,24,2002,58 CHURCH AVENUE,3-05351-0008,C1-WALK-UP,882000,17.47,13500,65,BOROUGH PARK,20,1930,2010
4171,Brooklyn,4608 10 AVENUE,3-05619-7501,R2-WALK-UP,114-R1,2236000,16.05,35200,64,BOROUGH PARK,16,1922,4018 5 AVENUE,3-00714-0044,C7-WALK-UP,1390000,16.69,24620,56,SUNSET PARK,32,1906,2010
4172,Brooklyn,1225 49 STREET,3-05634-7501,R4-ELEVATOR,12-R1,1035001,0,20044,52,BOROUGH PARK,16,1929,838 42 STREET,3-00925-0021,C1-WALK-UP,737000,15.44,14116,52,BOROUGH PARK,20,1916,2010
4173,Brooklyn,863 50 STREET,3-05637-7501,R4-ELEVATOR,1309-R1,1309998,26.3,11478,114,BOROUGH PARK,14,2004,854 GATES AVENUE,3-01637-0001,D1-ELEVATOR,1510000,29,24528,62,BEDFORD STUYVESANT,86,1995,2010
4174,Brooklyn,1077 54 STREET,3-05667-7501,R4-ELEVATOR,432-R1,1040003,15.44,17040,61,BOROUGH PARK,14,1983,838 42 STREET,3-00925-0021,C1-WALK-UP,737000,15.44,14116,52,BOROUGH PARK,20,1916,2010
4175,Brooklyn,858 54 STREET,3-05672-7501,R2-WALK-UP,1585-R1,921001,22.04,9628,96,BOROUGH PARK,12,2006,814 40 STREET,3-00920-0011,C7-WALK-UP,960000,22.04,10516,91,BOROUGH PARK,12,2004,2010
4176,Brooklyn,5823 11 AVENUE,3-05703-7502,R2-WALK-UP,687-R1,1790000,15.44,29346,61,BOROUGH PARK,12,0,838 42 STREET,3-00925-0021,C1-WALK-UP,737000,15.44,14116,52,BOROUGH PARK,20,1916,2010
4177,Brooklyn,1178 59 STREET,3-05710-7502,R4-ELEVATOR,443-R1,750000,0,5484,137,BOROUGH PARK,31,1985,655 5 AVENUE,3-00879-0001,C7-WALK-UP,848000,20.34,11144,76,SUNSET PARK,11,1931,2010
4178,Brooklyn,880 60 STREET,3-05714-7501,R4-ELEVATOR,830-R1,985999,23.81,9999,99,BOROUGH PARK,12,2000,1691 65 STREET,3-05545-0047,C7-WALK-UP,2180000,14.93,43200,50,BOROUGH PARK,48,1931,2010
4179,Brooklyn,6511 FT HAMILTON PARKWAY,3-05750-7501,R4-ELEVATOR,1323-R1,1319998,16.05,20727,64,DYKER HEIGHTS,17,2004,4018 5 AVENUE,3-00714-0044,C7-WALK-UP,1390000,16.69,24620,56,SUNSET PARK,32,1906,2010
4180,Brooklyn,420 64 STREET,3-05818-7501,R4-ELEVATOR,324-R1,8389999,27.2,64313,130,SUNSET PARK,76,1990,5002 5 AVENUE,3-00791-0038,C7-WALK-UP,868000,28.3,7400,117,SUNSET PARK,11,1931,2010
